,AGE,CUS_Month_Income,CUS_Gender,CUS_Marital_Status,YEARS_WITH_US,total debit amount,total debit transactions,total credit amount,total credit transactions,CUS_Target,TAR_Desc,Status,CUS_birth_year
0,49,7116.64,1,MARRIED,25,4758311.63,887,5659653.33,65,2231,EXECUTIVE,0,1970
1,46,1500000.0,0,SINGLE,14,139363.22,97,87000.0,10,2223,LOW,0,1973
2,53,5000000.0,0,SINGLE,14,37375.46,53,1020883.7,27,2222,MIDDLE,0,1966
3,15,500.0,0,SINGLE,14,4000.0,1,76946.96,12,2223,LOW,0,2004
4,48,9000000.0,0,SINGLE,5,338470.29,60,442100.0,21,2223,LOW,0,1971
5,37,2556.0,1,SINGLE,14,1883962.89,490,2037638.47,95,2235,MIDDLE,0,1982
7,39,10000000.0,1,MARRIED,14,1477803.14,422,1554678.53,32,2223,LOW,0,1980
8,46,15000000.0,1,MARRIED,14,3240369.08,877,3160483.36,49,2212,EXECUTIVE,0,1973
9,59,1500000.0,0,MARRIED,14,535684.68,130,528046.93,12,2223,LOW,0,1960
10,64,2800000.0,1,MARRIED,14,272200.0,127,270870.32,31,2223,LOW,0,1955
12,51,1000000.0,1,SINGLE,14,150020.72,64,55333.4,6,2222,MIDDLE,0,1968
13,43,1000000.0,0,SINGLE,14,155663.32,30,0.0,0,2223,LOW,0,1976
14,29,1000000.0,1,SINGLE,14,661380.78,198,871228.0,40,2223,LOW,0,1990
15,32,1500000.0,1,SINGLE,14,1348090.86,406,1036500.0,39,2222,MIDDLE,0,1987
16,49,6131000.0,1,SINGLE,14,317885.5,53,320151.95,8,2222,MIDDLE,0,1970
17,35,250000.0,1,SINGLE,14,892966.21,563,993775.97,64,2222,MIDDLE,0,1984
18,18,1000000.0,0,SINGLE,14,1295974.07,218,1129307.81,48,2222,MIDDLE,0,2001
19,16,500000.0,1,SINGLE,14,148606.03,55,124000.0,17,2223,LOW,0,2003
20,39,1000000.0,1,MARRIED,14,35420.86,21,4733403.55,19,2212,EXECUTIVE,0,1980
22,41,2000000.0,0,SINGLE,14,194327.99,52,140780.0,11,2223,LOW,0,1978
23,43,6000000.0,1,SINGLE,14,405997.75,256,1945000.22,66,2222,MIDDLE,0,1976
24,46,15000000.0,0,MARRIED,14,350497.85,254,173400.0,15,2223,LOW,0,1973
26,49,30000000.0,0,MARRIED,14,88802.5,22,258177.8,10,2222,MIDDLE,0,1970
27,66,0.0,1,WIDOWED,14,23163.6,14,23240.0,6,2223,LOW,0,1953
